z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H,H2,CH3,O,CH4,OH,H2O,CO,N2,HCO,CH2O,C2H6,CH2OH,CH3O,O2,CH3OH,HO2,H2O2,CO2,AR,HE
0.013625000000000002,1.4476642255675434,0.0,600.4750323577589,0.5921706201383562,1.001139095307579e-14,0.00015801723968346396,1.5897325740671585e-10,5.594235087374477e-16,1.5001750438864658e-07,2.1009970768910603e-14,0.00011561975366950619,1.7719347228137188e-05,0.663652463386239,1.2346119723922427e-16,1.2092753466297922e-06,3.5881366740166836e-10,4.2430679898528704e-13,5.733336635255709e-12,0.20148841240136964,0.13456282033143205,1.1402017713993395e-06,1.3264739450195685e-06,1.1210479894390177e-06,1.0785302653171112e-15,1.409040132381267e-15
0.013640625000000002,1.4483416760223322,0.0,600.6321486937837,0.5918936368949795,1.935390207371147e-14,0.00017187863934466029,2.0823274552972555e-10,-5.436225894354384e-16,1.9575440020462356e-07,3.566704219594311e-14,0.0001474457312590972,2.367672933458955e-05,0.6636143462498982,-8.360878488607381e-19,1.7102686116503639e-06,5.238608325168598e-10,5.768254201760952e-13,1.0338472976302758e-11,0.20147240988466883,0.13456343955829772,1.5221228337734327e-06,1.7734712488196208e-06,1.6008464346447673e-06,-3.393173346423207e-15,1.0581321291041651e-15
0.013648437500000003,1.4487402176055937,0.0,600.7303734381162,0.5917308097023135,2.7713539942461997e-14,0.00017928737334643816,2.387588467688814e-10,1.5024333845694086e-15,2.2392073890335398e-07,4.88311395175485e-14,0.00016669311924009643,2.7414945981712586e-05,0.6635920954889238,3.7304846735869864e-16,2.0391999029684396e-06,6.350175888534098e-10,6.769719158054364e-13,1.4062979970981267e-11,0.20146277367850599,0.1345637373824262,1.7616293526497962e-06,2.054068661001894e-06,1.9183040678339416e-06,1.876665601037108e-15,1.6802567301850459e-15
0.013656250000000002,1.4491874037779857,0.0,600.844979268495,0.5915482150124042,3.938967663932826e-14,0.00018703702817138683,2.7415976488150917e-10,2.1121146482781413e-15,2.5643647317498584e-07,6.511417688521906e-14,0.00018862853463464017,3.178849172532044e-05,0.6635673310910928,5.74579908533771e-16,2.4367789701679627e-06,7.718714329451575e-10,7.966197506285375e-13,1.919713117315704e-11,0.20145179439685854,0.1345639978424129,2.041721457344758e-06,2.382445524158625e-06,2.3041669502130996e-06,3.086708963330364e-15,1.8346287304735724e-15
0.0136640625,1.4496904678626703,0.0,600.9786848140642,0.5913429389397417,5.5789452361141935e-14,0.00019514351917530038,3.1523807233847286e-10,-4.805426928626137e-16,2.9397235536132975e-07,8.449076429318011e-14,0.0002136266030327024,3.69051888232916e-05,0.6635397502612568,-3.9558054285537406e-17,2.917312569944369e-06,9.40353421155429e-10,9.39415159996058e-13,2.62765921510294e-11,0.2014392623130661,0.13456419039611653,2.369274860247516e-06,2.7667204261381294e-06,2.773154605003307e-06,-4.8324065412128095e-15,1.0610206691183096e-15
0.013671875000000002,1.4502577925407407,0.0,601.134656054211,0.5911116120906612,7.971087443211023e-14,0.00020362354269950025,3.629489880673868e-10,2.643765707277544e-15,3.3730225847645224e-07,1.1554538849608064e-13,0.00024211388468155747,4.2891097519573844e-05,0.6635090147999704,7.431909222154133e-16,3.4980803950241008e-06,1.1477838595160145e-09,1.115649778855679e-12,3.6076473672426487e-11,0.20142493365497768,0.1345642742297175,2.752329314258101e-06,3.216384830062314e-06,3.343145110517273e-06,2.4753935559897533e-15,1.9127674382241575e-15
0.013679687500000003,1.4508990940343607,0.0,601.3165787588807,0.5908503389903156,1.1379349037979738e-13,0.00021249462118336657,4.184005437921187e-10,4.3372615557982865e-15,3.873188746299605e-07,1.5549689467528294e-13,0.00027457597927853754,4.989357786282136e-05,0.6634747474697925,9.3677617010195e-16,4.199948961723163e-06,1.403132139384423e-09,1.329515960247568e-12,4.962367783791188e-11,0.20140852503852824,0.13456419550578758,3.2002850711197466e-06,3.742532666501842e-06,4.035848994532975e-06,5.811101392433926e-15,2.2812901474251805e-15
0.013687500000000002,1.4516256351854955,0.0,601.5287422868184,0.5905546172521724,1.626759174630009e-13,0.00022177515208158413,4.829126002895991e-10,5.957198587718827e-15,4.4505182499201437e-07,2.0956825434110677e-13,0.000311565570923059,5.808485717734187e-05,0.6634365281364982,1.33322346104002e-15,5.048111062889778e-06,1.7174488359775e-09,1.5923694034964638e-12,6.837352349922124e-11,0.2013897070085915,0.13456388395539817,3.724132780647195e-06,4.358127536729235e-06,4.877625492197245e-06,7.366265194224481e-15,2.4316887024868435e-15
0.013695312500000001,1.4524504716303954,0.0,601.7761363970902,0.5902192452850944,2.3291888313121207e-13,0.00023148446105302606,5.580493783766218e-10,6.867743588269969e-15,5.116884258566434e-07,2.823123046718938e-13,0.0003537115268140964,6.766618321072133e-05,0.6633938896900425,1.49091243054324e-15,6.072975264688657e-06,2.104318970798505e-09,1.91721310073366e-12,9.43486676853953e-11,0.2013680965446919,0.1345632486657411,4.33672173421111e-06,5.078313112739861e-06,5.900470259009309e-06,4.771403989425627e-15,2.1460600349864206e-15
0.013703125000000002,1.4533887358708855,0.0,602.064562930623,0.5898382172541703,3.344238275031613e-13,0.00024164285998986939,6.456794056387732e-10,1.1721562626700227e-14,5.885975463684602e-07,3.846257858148884e-13,0.00040172917374111517,7.887265501603257e-05,0.6633463137930179,2.780866434315576e-15,7.311235311631497e-06,2.5804544523871108e-09,2.3246321535837115e-12,1.3038068512341485e-10,0.20134324837888806,0.13456217289100625,5.053073165900813e-06,5.920773396507394e-06,7.143209795671418e-06,9.74762077722968e-15,2.651293818704772e-15
